Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,predicted_label_GPT3.5
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,1
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,0
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",2
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,0
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,0
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",0
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,0
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",1
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,1
14,3,1,2,0,1,""" bitch get up off me """,0
15,3,0,3,0,1,""" bitch nigga miss me with it """,0
16,3,0,3,0,1,""" bitch plz whatever """,1
17,3,1,2,0,1,""" bitch who do you love """,0
18,3,0,3,0,1,""" bitches get cut off everyday B """,0
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,1
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,0
21,3,0,3,0,1,""" cancel that bitch like Nino """,0
22,3,0,3,0,1,""" cant you see these hoes wont change """,0
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",0
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",1
26,3,0,3,0,1,""" hoe what its hitting for """,1
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,1
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,1
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,0
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",2
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,0
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,1
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1
35,3,0,3,0,1,""" is that ya bitch """,1
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,1
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",0
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,1
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,1
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,2
41,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",1
44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """,1
45,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """,1
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,0
48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,1
49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,0
50,3,1,2,0,1,""" we dont trust these niggas all these bitches """,0
51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,0
52,3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",0
53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,1
54,3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",1
55,3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",0
56,3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",1
57,3,0,3,0,1,"""&amp; he's gone always be a hoe""",1
58,3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",2
