Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,predicted_label,probabilities
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,1,"[0.01399668026715517, 0.7887675762176514, 0.19723565876483917]"
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,2,"[0.003781960578635335, 0.0836169645190239, 0.9126010537147522]"
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,2,"[0.11965575814247131, 0.004347521346062422, 0.8759967684745789]"
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,2,"[0.010052098892629147, 0.1503414362668991, 0.8396064639091492]"
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",2,"[0.004020679276436567, 0.25608497858047485, 0.7398943305015564]"
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,2,"[0.24409937858581543, 0.12782758474349976, 0.6280730962753296]"
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",2,"[0.006736274342983961, 0.007651558145880699, 0.985612154006958]"
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,2,"[0.001955244690179825, 0.08125139772891998, 0.9167933464050293]"
14,3,1,2,0,1,""" bitch get up off me """,2,"[0.019736096262931824, 0.029859161004424095, 0.9504047632217407]"
15,3,0,3,0,1,""" bitch nigga miss me with it """,2,"[0.005290366243571043, 0.2871357202529907, 0.7075738906860352]"
16,3,0,3,0,1,""" bitch plz whatever """,2,"[0.01576690375804901, 0.11289957165718079, 0.8713334798812866]"
17,3,1,2,0,1,""" bitch who do you love """,2,"[0.0029901242814958096, 0.004681690130382776, 0.9923282265663147]"
18,3,0,3,0,1,""" bitches get cut off everyday B """,2,"[0.003461311338469386, 0.04123992845416069, 0.9552987217903137]"
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,2,"[0.005926842801272869, 0.052724938839673996, 0.9413481950759888]"
22,3,0,3,0,1,""" cant you see these hoes wont change """,2,"[0.0074001275934278965, 0.013157086446881294, 0.9794427752494812]"
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",2,"[0.10789912939071655, 0.022365843877196312, 0.8697350025177002]"
26,3,0,3,0,1,""" hoe what its hitting for """,2,"[0.0021123001351952553, 0.018603119999170303, 0.9792845249176025]"
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,2,"[0.04187963157892227, 0.13882020115852356, 0.8193001747131348]"
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,2,"[0.019005395472049713, 0.36490553617477417, 0.6160891056060791]"
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,2,"[0.24719926714897156, 0.08145274966955185, 0.6713479161262512]"
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,2,"[0.00944533757865429, 0.10635925084352493, 0.8841954469680786]"
35,3,0,3,0,1,""" is that ya bitch """,2,"[0.011901517398655415, 0.01714254915714264, 0.9709559679031372]"
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,2,"[0.01194059755653143, 0.34953948855400085, 0.6385199427604675]"
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,2,"[0.003239099867641926, 0.02440461702644825, 0.9723562598228455]"
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,1,"[0.04597243294119835, 0.6339395642280579, 0.32008805871009827]"
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",2,"[0.000648976827505976, 0.04055824130773544, 0.9587927460670471]"
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """,2,"[0.009032199159264565, 0.29399198293685913, 0.696975827217102]"
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,2,"[0.061817314475774765, 0.4289275109767914, 0.5092551112174988]"
48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,2,"[0.006759204436093569, 0.024499664083123207, 0.9687410593032837]"
49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,2,"[0.0011120617855340242, 0.006069917697459459, 0.9928179979324341]"
50,3,1,2,0,1,""" we dont trust these niggas all these bitches """,2,"[0.023578042164444923, 0.3006022870540619, 0.6758196353912354]"
51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,2,"[0.0004506751138251275, 0.1499747633934021, 0.8495745062828064]"
53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,2,"[0.0029285307973623276, 0.43065863847732544, 0.5664129257202148]"
62,3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",2,"[0.06560729444026947, 0.2367335855960846, 0.6976590752601624]"
64,3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",2,"[0.0005954760126769543, 0.07437901198863983, 0.9250255227088928]"
65,3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",2,"[0.007187779061496258, 0.440268874168396, 0.5525434017181396]"
66,3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",1,"[0.030408309772610664, 0.8975727558135986, 0.07201898097991943]"
67,3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",1,"[0.0018627757672220469, 0.9918838739395142, 0.0062533169984817505]"
69,3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",2,"[0.045999057590961456, 0.3790629804134369, 0.5749379396438599]"
74,3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",2,"[0.02515086717903614, 0.32506829500198364, 0.6497808694839478]"
75,3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",1,"[0.007568095810711384, 0.9400023221969604, 0.05242955684661865]"
80,9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",2,"[0.023642648011446, 0.393024742603302, 0.5833325386047363]"
81,3,0,3,0,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",2,"[0.009942129254341125, 0.43288514018058777, 0.5571726560592651]"
