Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,predicted_label,probabilities
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,1,"[0.01399668026715517, 0.7887675762176514, 0.19723565876483917]"
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,2,"[0.003781960578635335, 0.0836169645190239, 0.9126010537147522]"
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1,"[0.0007540417136624455, 0.7020614147186279, 0.2971845269203186]"
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,2,"[0.11965575814247131, 0.004347521346062422, 0.8759967684745789]"
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1,"[4.74783664685674e-05, 0.9859641790390015, 0.013988319784402847]"
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,"[0.0003548701060935855, 0.900884747505188, 0.09876041114330292]"
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1,"[0.0020555397495627403, 0.820055365562439, 0.17788906395435333]"
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1,"[0.0016775379190221429, 0.9259620904922485, 0.07236043363809586]"
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,2,"[0.010052098892629147, 0.1503414362668991, 0.8396064639091492]"
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,"[0.009984416887164116, 0.5057332515716553, 0.4842822849750519]"
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",2,"[0.004020679276436567, 0.25608497858047485, 0.7398943305015564]"
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,2,"[0.24409937858581543, 0.12782758474349976, 0.6280730962753296]"
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",2,"[0.006736274342983961, 0.007651558145880699, 0.985612154006958]"
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,2,"[0.001955244690179825, 0.08125139772891998, 0.9167933464050293]"
14,3,1,2,0,1,""" bitch get up off me """,2,"[0.019736096262931824, 0.029859161004424095, 0.9504047632217407]"
15,3,0,3,0,1,""" bitch nigga miss me with it """,2,"[0.005290366243571043, 0.2871357202529907, 0.7075738906860352]"
16,3,0,3,0,1,""" bitch plz whatever """,2,"[0.01576690375804901, 0.11289957165718079, 0.8713334798812866]"
17,3,1,2,0,1,""" bitch who do you love """,2,"[0.0029901242814958096, 0.004681690130382776, 0.9923282265663147]"
18,3,0,3,0,1,""" bitches get cut off everyday B """,2,"[0.003461311338469386, 0.04123992845416069, 0.9552987217903137]"
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,1,"[0.019291600212454796, 0.8359098434448242, 0.14479847252368927]"
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,2,"[0.005926842801272869, 0.052724938839673996, 0.9413481950759888]"
21,3,0,3,0,1,""" cancel that bitch like Nino """,1,"[0.03880051523447037, 0.5050962567329407, 0.4561031758785248]"
22,3,0,3,0,1,""" cant you see these hoes wont change """,2,"[0.0074001275934278965, 0.013157086446881294, 0.9794427752494812]"
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",2,"[0.10789912939071655, 0.022365843877196312, 0.8697350025177002]"
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,"[0.0001401921035721898, 0.9899436235427856, 0.009916240349411964]"
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",1,"[0.00010522273078095168, 0.9957720637321472, 0.004122777376323938]"
26,3,0,3,0,1,""" hoe what its hitting for """,2,"[0.0021123001351952553, 0.018603119999170303, 0.9792845249176025]"
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1,"[0.0003462455642875284, 0.9764136672019958, 0.02324000559747219]"
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,1,"[0.00796190369874239, 0.5583738088607788, 0.43366432189941406]"
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,1,"[0.005633714143186808, 0.6890817284584045, 0.3052845895290375]"
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,2,"[0.04187963157892227, 0.13882020115852356, 0.8193001747131348]"
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1,"[0.00020825568935833871, 0.8862025141716003, 0.11358924955129623]"
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,2,"[0.019005395472049713, 0.36490553617477417, 0.6160891056060791]"
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,2,"[0.24719926714897156, 0.08145274966955185, 0.6713479161262512]"
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,2,"[0.00944533757865429, 0.10635925084352493, 0.8841954469680786]"
35,3,0,3,0,1,""" is that ya bitch """,2,"[0.011901517398655415, 0.01714254915714264, 0.9709559679031372]"
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,1,"[0.0066610341891646385, 0.6271831393241882, 0.3661557734012604]"
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",1,"[0.0004469545092433691, 0.719763457775116, 0.2797895669937134]"
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,2,"[0.01194059755653143, 0.34953948855400085, 0.6385199427604675]"
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,2,"[0.003239099867641926, 0.02440461702644825, 0.9723562598228455]"
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,1,"[0.04597243294119835, 0.6339395642280579, 0.32008805871009827]"
41,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1,"[0.002271143952384591, 0.6478970050811768, 0.34983184933662415]"
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1,"[0.008018841035664082, 0.879654049873352, 0.11232710629701614]"
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",2,"[0.000648976827505976, 0.04055824130773544, 0.9587927460670471]"
